"Code","Description","Parent"
"Co_25","Administrative, Commercial And Protective Service Complexes","Co"
"Co_25_10","Legislative Complexes","Co_25"
"Co_25_10_10","International Legislative Complexes","Co_25_10"
"Co_25_10_30","National Legislative Complexes","Co_25_10"
"Co_25_10_50","Regional Legislative Complexes","Co_25_10"
"Co_25_10_70","Local Legislative Complexes","Co_25_10"
"Co_25_20","Secular Administrative Complexes","Co_25"
"Co_25_20_10","International Official Administrative Complexes","Co_25_20"
"Co_25_20_30","National Official Administrative Complexes","Co_25_20"
"Co_25_20_50","Regional Official Administrative Complexes","Co_25_20"
"Co_25_20_70","Local Official Administrative Complexes","Co_25_20"
"Co_25_30","Secular Representative Complexes","Co_25"
"Co_25_30_10","International Official Representative Complexes","Co_25_30"
"Co_25_30_30","National Official Representative Complexes","Co_25_30"
"Co_25_30_50","Regional Official Representative Complexes","Co_25_30"
"Co_25_30_70","Local Official Representative Complexes","Co_25_30"
"Co_25_35","Religious Representative Complexes","Co_25"
"Co_25_35_10","International Religious Representative Complexes","Co_25_35"
"Co_25_35_30","National Religious Representative Complexes","Co_25_35"
"Co_25_35_50","Regional Religious Representative Complexes","Co_25_35"
"Co_25_35_70","Local Religious Representative Complexes","Co_25_35"
"Co_25_40","Financial Complexes","Co_25"
"Co_25_40_10","International Financial Complexes","Co_25_40"
"Co_25_40_30","National Financial Complexes","Co_25_40"
"Co_25_40_50","Regional Financial Complexes","Co_25_40"
"Co_25_40_70","Local Financial Complexes","Co_25_40"
"Co_25_50","Commercial Administrative Complexes","Co_25"
"Co_25_50_10","Multiple Office Complexes","Co_25_50"
"Co_25_50_40","Large Single Office Complexes","Co_25_50"
"Co_25_50_70","Small Single Office Complexes","Co_25_50"
"Co_25_60","Commercial Wholesale And Retail Complexes","Co_25"
"Co_25_60_10","Multiple Wholesale Complexes","Co_25_60"
"Co_25_60_20","Large Single Wholesale Complexes","Co_25_60"
"Co_25_60_30","Small Single Wholesale Complexes","Co_25_60"
"Co_25_60_50","Auction Complexes","Co_25_60"
"Co_25_60_70","Multiple Retail Complexes","Co_25_60"
"Co_25_60_80","Large Single Retail Complexes","Co_25_60"
"Co_25_60_90","Small Single Retail Complexes","Co_25_60"
"Co_25_70","Military Complexes","Co_25"
"Co_25_70_10","International Military Complexes","Co_25_70"
"Co_25_70_30","National Military Complexes","Co_25_70"
"Co_25_70_50","Regional Military Complexes","Co_25_70"
"Co_25_70_70","Local Military Complexes","Co_25_70"
"Co_25_70_90","Temporary Military Complexes","Co_25_70"
"Co_25_80","Law Enforcement And Judicial Complexes","Co_25"
"Co_25_80_10","International Law Enforcement Complexes","Co_25_80"
"Co_25_80_20","International Judicial Complexes","Co_25_80"
"Co_25_80_30","National Law Enforcement Complexes","Co_25_80"
"Co_25_80_40","National Judicial Complexes","Co_25_80"
"Co_25_80_50","Regional Law Enforcement Complexes","Co_25_80"
"Co_25_80_60","Regional Judicial Complexes","Co_25_80"
"Co_25_80_70","Local Law Enforcement Complexes","Co_25_80"
"Co_25_80_80","Local Judicial Complexes","Co_25_80"
"Co_25_85","Detention Complexes","Co_25"
"Co_25_85_10","International Detention Complexes","Co_25_85"
"Co_25_85_30","National Detention Complexes","Co_25_85"
"Co_25_85_50","Regional Detention Complexes","Co_25_85"
"Co_25_85_70","Local Detention Complexes","Co_25_85"
"Co_25_90","Fire And Rescue Complexes","Co_25"
"Co_25_90_10","International Fire And Rescue Complexes","Co_25_90"
"Co_25_90_30","National Fire And Rescue Complexes","Co_25_90"
"Co_25_90_50","Regional Fire And Rescue Complexes","Co_25_90"
"Co_25_90_70","Local Fire And Rescue Complexes","Co_25_90"
"Co_25_90_90","Temporary Fire And Rescue Complexes","Co_25_90"
"Co_30","Educational, Scientific And Information Complexes","Co"
