"Code","Description","Parent"
"Ee_15","Preparatory Elements","Ee"
"Ee_15_10","Utility Preparation","Ee_15"
"Ee_15_10_10","Utility Preparation","Ee_15_10"
"Ee_15_10_30","Utility Remediation","Ee_15_10"
"Ee_15_10_50","Utility Surveys","Ee_15_10"
"Ee_15_10_80","Utility Temporary Works","Ee_15_10"
"Ee_15_30","Transport Preparation","Ee_15"
"Ee_15_30_10","Transport Preparation","Ee_15_30"
"Ee_15_30_30","Transport Remediation","Ee_15_30"
"Ee_15_30_50","Transport Surveys","Ee_15_30"
"Ee_15_30_80","Transport Temporary Works","Ee_15_30"
"Ee_15_50","Building Preparation","Ee_15"
"Ee_15_50_10","Building Preparation","Ee_15_50"
"Ee_15_50_30","Building Remediation","Ee_15_50"
"Ee_15_50_50","Building Surveys","Ee_15_50"
"Ee_15_50_80","Building Temporary Works","Ee_15_50"
"Ee_15_70","Landscape Preparation","Ee_15"
"Ee_15_70_10","Landscape Preparation","Ee_15_70"
"Ee_15_70_30","Landscape Remediation","Ee_15_70"
"Ee_15_70_50","Landscape Surveys","Ee_15_70"
"Ee_15_70_80","Landscape Temporary Works","Ee_15_70"
"Ee_15_80","Process Preparation","Ee_15"
"Ee_15_80_10","Process Preparation","Ee_15_80"
"Ee_15_80_30","Process Remediation","Ee_15_80"
"Ee_15_80_50","Process Surveys","Ee_15_80"
"Ee_15_80_80","Process Temporary Works","Ee_15_80"
"Ee_20","Whole-Entity Structural Elements","Ee"
"Ee_20_05","Substructure","Ee_20"
"Ee_20_05_05","Substructure Core Fabric","Ee_20_05"
"Ee_20_05_40","Substructure Coverings","Ee_20_05"
"Ee_20_05_45","Substructure Finishes","Ee_20_05"
"Ee_20_05_75","Substructure Drainage","Ee_20_05"
"Ee_20_10","Structure","Ee_20"
"Ee_20_10_10","Structure Core Fabric","Ee_20_10"
"Ee_20_10_40","Structure Coverings","Ee_20_10"
"Ee_20_10_45","Structure Finishes","Ee_20_10"
"Ee_20_10_85","Structure Protection","Ee_20_10"
"Ee_20_95","Temporary Whole-Entity Structures","Ee_20"
"Ee_25","Wall And Barrier Elements","Ee"
"Ee_25_10","Basement Walls","Ee_25"
"Ee_25_10_05","Basement Walls Substructure","Ee_25_10"
"Ee_25_10_10","Basement Walls Structure","Ee_25_10"
"Ee_25_10_25","Basement Walls Internal Skin","Ee_25_10"
"Ee_25_10_30","Basement Walls Accessible Opening","Ee_25_10"
"Ee_25_10_40","Basement Walls Internal Coverings","Ee_25_10"
"Ee_25_10_45","Basement Walls Internal Finishes","Ee_25_10"
"Ee_25_10_75","Basement Walls Drainage","Ee_25_10"
"Ee_25_20","External Walls","Ee_25"
"Ee_25_20_05","External Walls Substructure","Ee_25_20"
"Ee_25_20_10","External Walls Structure","Ee_25_20"
"Ee_25_20_20","External Walls External Skin","Ee_25_20"
"Ee_25_20_25","External Walls Internal Skin","Ee_25_20"
"Ee_25_20_30","External Walls Accessible Openings","Ee_25_20"
"Ee_25_20_35","External Walls Non-Accessible Openings","Ee_25_20"
"Ee_25_20_40","External Walls External Coverings","Ee_25_20"
"Ee_25_20_42","External Walls Internal Coverings","Ee_25_20"
"Ee_25_20_45","External Walls External Finishes","Ee_25_20"
"Ee_25_20_47","External Walls Internal Finishes","Ee_25_20"
"Ee_25_20_50","External Walls Canopies","Ee_25_20"
"Ee_25_20_55","External Walls Screens","Ee_25_20"
"Ee_25_20_65","External Walls Accessory Finishes","Ee_25_20"
"Ee_25_20_85","External Walls Power Supply, Security And Protection","Ee_25_20"
"Ee_25_25","Internal Walls","Ee_25"
"Ee_25_25_05","Internal Walls Substructure","Ee_25_25"
"Ee_25_25_10","Internal Walls Structure","Ee_25_25"
"Ee_25_25_30","Internal Walls Accessible Openings","Ee_25_25"
"Ee_25_25_35","Internal Walls Non-Accessible Openings","Ee_25_25"
"Ee_25_25_40","Internal Walls Face A Coverings","Ee_25_25"
"Ee_25_25_42","Internal Walls Face B Coverings","Ee_25_25"
"Ee_25_25_45","Internal Walls Face A Finishes","Ee_25_25"
"Ee_25_25_47","Internal Walls Face B Finishes","Ee_25_25"
"Ee_25_30","External Garden Walls","Ee_25"
"Ee_25_30_05","External Garden Walls Substructure","Ee_25_30"
"Ee_25_30_10","External Garden Walls Structure","Ee_25_30"
"Ee_25_30_30","External Garden Walls Accessible Openings","Ee_25_30"
"Ee_25_30_35","External Garden Walls Non-Accessible Openings","Ee_25_30"
"Ee_25_30_40","External Garden Walls Face A Coverings","Ee_25_30"
"Ee_25_30_42","External Garden Walls Face B Coverings","Ee_25_30"
"Ee_25_30_45","External Garden Walls Face A Finishes","Ee_25_30"
"Ee_25_30_47","External Garden Walls Face B Finishes","Ee_25_30"
"Ee_25_30_50","External Garden Walls Canopies","Ee_25_30"
"Ee_25_30_55","External Garden Walls Screens","Ee_25_30"
"Ee_25_30_65","External Garden Walls Accessory Finishes","Ee_25_30"
"Ee_25_30_85","External Garden Walls Power Supply","Ee_25_30"
"Ee_25_35","External Green Walls","Ee_25"
"Ee_25_35_05","External Green Walls Substructure","Ee_25_35"
"Ee_25_35_10","External Green Walls Structure","Ee_25_35"
"Ee_25_35_45","External Green Walls Finishes","Ee_25_35"
"Ee_25_35_70","External Green Walls Natural Planting","Ee_25_35"
"Ee_25_35_75","External Green Walls Drainage And Irrigation","Ee_25_35"
"Ee_25_40","Fences","Ee_25"
"Ee_25_40_05","Fences Substructure","Ee_25_40"
"Ee_25_40_10","Fences Structure","Ee_25_40"
"Ee_25_40_30","Fences Accessible Openings","Ee_25_40"
"Ee_25_40_35","Fences Non-Accessible Openings","Ee_25_40"
"Ee_25_40_40","Fences Face A Coverings","Ee_25_40"
"Ee_25_40_42","Fences Face B Coverings","Ee_25_40"
"Ee_25_40_45","Fences Face A Finishes","Ee_25_40"
"Ee_25_40_47","Fences Face B Finishes","Ee_25_40"
"Ee_25_50","Fixed Traffic And Protective Barriers","Ee_25"
"Ee_25_50_05","Fixed Traffic And Protective Barriers Substructure","Ee_25_50"
"Ee_25_50_10","Fixed Traffic And Protective Barriers Structure","Ee_25_50"
"Ee_25_50_30","Fixed Traffic And Protective Barriers Accessible Openings","Ee_25_50"
"Ee_25_50_35","Fixed Traffic And Protective Barriers Non-Accessible Openings","Ee_25_50"
"Ee_25_50_40","Fixed Traffic And Protective Barriers Coverings","Ee_25_50"
"Ee_25_50_45","Fixed Traffic And Protective Barriers Finishes","Ee_25_50"
"Ee_25_60","Dams And Levees","Ee_25"
"Ee_25_60_05","Dams And Levees Substructure","Ee_25_60"
"Ee_25_60_10","Dams And Levees Structure","Ee_25_60"
"Ee_25_60_40","Dams And Levees Water-Side Coverings","Ee_25_60"
"Ee_25_60_42","Dams And Levees Dry-Side Coverings","Ee_25_60"
"Ee_25_60_45","Dams And Levees Water-Side Finishes","Ee_25_60"
"Ee_25_60_47","Dams And Levees Dry-Side Finishes","Ee_25_60"
"Ee_25_80","Operable Barriers","Ee_25"
