"Code","Description","Parent"
"Pr_15","Preparatory Products","Pr"
"Pr_15_21_13_11","Calcium Chloride","Pr_15_21_13"
"Pr_15_21_13_12","Calcium Magnesium Acetate","Pr_15_21_13"
"Pr_15_21_13_50","Magnesium Chloride","Pr_15_21_13"
"Pr_15_21_13_65","Potassium Acetate","Pr_15_21_13"
"Pr_15_21_13_66","Potassium Chloride","Pr_15_21_13"
"Pr_15_21_13_81","Sodium Acetate","Pr_15_21_13"
"Pr_15_21_13_82","Sodium Chloride","Pr_15_21_13"
"Pr_15_31","Formless Preparatory Products","Pr_15"
"Pr_15_31_04","Applied Cleaning And Repair Treatments","Pr_15_31"
"Pr_15_31_04_06","Biocidal Cleaning Solutions","Pr_15_31_04"
"Pr_15_31_04_12","Chemical Poultices","Pr_15_31_04"
"Pr_15_31_04_13","Cleaning Agents","Pr_15_31_04"
"Pr_15_31_04_14","Concrete Surface Retarders","Pr_15_31_04"
"Pr_15_31_04_15","Concrete Treatment Surface And Injection Chemicals","Pr_15_31_04"
"Pr_15_31_04_20","Curing Compounds","Pr_15_31_04"
"Pr_15_31_04_34","Graffiti-Removing Chemicals","Pr_15_31_04"
"Pr_15_31_04_52","Mould Removers","Pr_15_31_04"
"Pr_15_31_04_64","Plain Poultices","Pr_15_31_04"
"Pr_15_31_04_79","Sugar Soaps","Pr_15_31_04"
"Pr_15_31_04_80","Surface Cleaners","Pr_15_31_04"
"Pr_15_31_13","Chlorides And Acetates","Pr_15_31"
"Pr_15_31_26","Earth And Fill Materials","Pr_15_31"
"Pr_15_31_26_13","Chalk","Pr_15_31_26"
"Pr_15_31_26_14","Clays","Pr_15_31_26"
"Pr_15_31_26_15","Coarse No Fines Rubble Fill Materials","Pr_15_31_26"
"Pr_15_31_26_26","Earths","Pr_15_31_26"
"Pr_15_31_26_33","Graded Granular Fill Materials","Pr_15_31_26"
"Pr_15_31_26_34","Graded Natural Granular Fill Materials","Pr_15_31_26"
"Pr_15_31_26_35","Graded Recycled Granular Fill Materials","Pr_15_31_26"
"Pr_15_31_26_36","Hardcores","Pr_15_31_26"
"Pr_15_31_26_37","Highways Agency Unbound Mixtures Type 1","Pr_15_31_26"
"Pr_15_31_26_38","Highways Agency Unbound Mixtures Type 2","Pr_15_31_26"
"Pr_15_31_26_39","Highways Agency Unbound Mixtures Type 3","Pr_15_31_26"
"Pr_15_31_26_40","Highways Agency Unbound Mixtures Type 4","Pr_15_31_26"
"Pr_15_31_26_41","Hoggins","Pr_15_31_26"
"Pr_15_31_26_46","Landscape Area Fill Materials","Pr_15_31_26"
"Pr_15_57","Non-Rigid Sheet, Mat And Strip Preparatory Products","Pr_15"
"Pr_15_57_33","Geosynthetics","Pr_15_57"
"Pr_15_57_33_07","Biodegradable Flax Geotextiles","Pr_15_57_33"
"Pr_15_57_33_08","Bituminous Felt Geotextiles","Pr_15_57_33"
"Pr_15_57_33_09","Butyl Rubber Geomembranes","Pr_15_57_33"
"Pr_15_57_33_12","Chlorinated Polyethylene (Pe-C) Geomembranes","Pr_15_57_33"
"Pr_15_57_33_13","Chlorosulfonated Polyethylene (Pe-Cs) Geomembranes","Pr_15_57_33"
"Pr_15_57_33_27","Ethylene Propylene Diene Monomer (Epdm) Geomembranes","Pr_15_57_33"
"Pr_15_57_33_30","Foamed Aminoplastic Resin Moisture Retention Mats","Pr_15_57_33"
"Pr_15_57_33_31","Geocomposite Drainage Sheets","Pr_15_57_33"
"Pr_15_57_33_32","Geocomposite Gas Venting Layers","Pr_15_57_33"
"Pr_15_57_33_33","Geocomposite Membranes","Pr_15_57_33"
"Pr_15_57_33_34","Geocomposite Studded Sheets","Pr_15_57_33"
"Pr_15_57_33_35","Geomats","Pr_15_57_33"
"Pr_15_57_33_36","Geonets","Pr_15_57_33"
"Pr_15_57_33_37","Geosynthetic Clay Liners (Gcls)","Pr_15_57_33"
"Pr_15_57_33_38","Glass Fibre Tissue Geotextiles","Pr_15_57_33"
"Pr_15_57_33_39","High-Density Polyethylene (Pe-Hd) Geogrids","Pr_15_57_33"
"Pr_15_57_33_40","High-Density Polyethylene (Pe-Hd) Geomembranes","Pr_15_57_33"
"Pr_15_57_33_44","Jute Geotextiles","Pr_15_57_33"
"Pr_15_57_33_47","Low-Density Polyethylene (Pe-Ld) Geomembranes","Pr_15_57_33"
"Pr_15_57_33_56","Needle-Punched Nonwoven Geotextiles","Pr_15_57_33"
"Pr_15_57_33_58","Polyacrylonitrile (Pan) Water Retention Geotextiles","Pr_15_57_33"
"Pr_15_57_33_59","Polyamide Water Retention Geotextiles","Pr_15_57_33"
"Pr_15_57_33_60","Polyester (Pet) Filter Geotextiles","Pr_15_57_33"
"Pr_15_57_33_61","Polyester (Pet) Geocells","Pr_15_57_33"
"Pr_15_57_33_62","Polyester (Pet) Geogrids","Pr_15_57_33"
"Pr_15_57_33_63","Polyethylene (Pe) Filter Geotextiles","Pr_15_57_33"
"Pr_15_57_33_64","Polyethylene (Pe) Geocells","Pr_15_57_33"
"Pr_15_57_33_65","Polypropylene (Pp) Filter Geotextiles","Pr_15_57_33"
"Pr_15_57_33_66","Polypropylene (Pp) Geocells","Pr_15_57_33"
"Pr_15_57_33_67","Polypropylene (Pp) Geomembranes","Pr_15_57_33"
"Pr_15_57_33_68","Polypropylene (Pp) Water Retention Geotextiles","Pr_15_57_33"
"Pr_15_57_33_69","Polyvinylidene Fluoride (Pvdf) Hydrophilic Geotextiles","Pr_15_57_33"
"Pr_15_57_33_70","Polyvinylidene Fluoride (Pvdf) Hydrophobic Geomembranes","Pr_15_57_33"
"Pr_15_57_33_88","Thermally-Bonded Nonwoven Geotextiles","Pr_15_57_33"
"Pr_15_57_33_97","Woven Geotextiles","Pr_15_57_33"
"Pr_20","Structure And General Products","Pr"
"Pr_20_29","Fastener Products","Pr_20"
"Pr_20_29_03","Anchors","Pr_20_29"
"Pr_20_29_03_11","Carbon Steel Chemical Anchor Rods","Pr_20_29_03"
"Pr_20_29_03_12","Carbon Steel Chemical Anchor Sockets","Pr_20_29_03"
"Pr_20_29_03_13","Carbon Steel Post Base Plates","Pr_20_29_03"
"Pr_20_29_03_14","Carbon Steel Post Spikes","Pr_20_29_03"
"Pr_20_29_03_15","Cavity Anchors","Pr_20_29_03"
"Pr_20_29_03_16","Chemical Anchor Capsules","Pr_20_29_03"
"Pr_20_29_03_17","Chemical Anchor Cartridges","Pr_20_29_03"
"Pr_20_29_03_28","Expansion Anchors","Pr_20_29_03"
"Pr_20_29_03_31","Framing Anchors","Pr_20_29_03"
"Pr_20_29_03_32","Framing Fasteners","Pr_20_29_03"
"Pr_20_29_03_34","Ground Anchors","Pr_20_29_03"
"Pr_20_29_03_36","Hammer-In Fasteners","Pr_20_29_03"
"Pr_20_29_03_44","J-Pins","Pr_20_29_03"
"Pr_20_29_03_72","Roof Anchors For Solar Modules","Pr_20_29_03"
"Pr_20_29_03_80","Socket Anchors","Pr_20_29_03"
"Pr_20_29_03_81","Sprayed Concrete Anchor Studs","Pr_20_29_03"
"Pr_20_29_03_82","Sprayed Concrete Ties","Pr_20_29_03"
"Pr_20_29_03_83","Stainless Steel Chemical Anchor Rods","Pr_20_29_03"
"Pr_20_29_03_84","Stainless Steel Chemical Anchor Sockets","Pr_20_29_03"
"Pr_20_29_03_85","Stainless Steel Glass Block Panel Anchors","Pr_20_29_03"
"Pr_20_29_03_86","Structural Anchors","Pr_20_29_03"
"Pr_20_29_03_88","Threaded Anchors","Pr_20_29_03"
"Pr_20_29_03_92","Undercut Anchors","Pr_20_29_03"
"Pr_20_29_03_97","Wedge Anchors","Pr_20_29_03"
"Pr_20_29_08","Bolts","Pr_20_29"
"Pr_20_29_08_07","Black Hexagon Nuts And Bolts","Pr_20_29_08"
"Pr_20_29_08_08","Bolt Boxes","Pr_20_29_08"
"Pr_20_29_08_11","Carbon Steel Holding Down Bolt Assemblies","Pr_20_29_08"
"Pr_20_29_08_12","Carbon Steel Hook Bolts","Pr_20_29_08"
"Pr_20_29_08_13","Carbon Steel Preloaded Bolt Assemblies","Pr_20_29_08"
"Pr_20_29_08_15","Coach Nuts And Bolts","Pr_20_29_08"
"Pr_20_29_08_36","Hexagon Head Carbon Steel Nuts And Bolts","Pr_20_29_08"
"Pr_20_29_08_37","Hexagon Head Stainless Steel Nuts And Bolts","Pr_20_29_08"
"Pr_20_29_08_42","Indented Bolts","Pr_20_29_08"
"Pr_20_29_08_57","Nylon Gutter Bolts","Pr_20_29_08"
"Pr_20_29_08_84","Stainless Steel Gutter Bolts","Pr_20_29_08"
"Pr_20_29_08_85","Stainless Steel Hook Bolts","Pr_20_29_08"
"Pr_20_29_14","Clips And Clamps","Pr_20_29"
"Pr_20_29_14_01","Above-Ground Drainage Pipe Clips","Pr_20_29_14"
"Pr_20_29_14_11","Carbon Steel Clips","Pr_20_29_14"
"Pr_20_29_14_15","Colour Pipe Clips","Pr_20_29_14"
"Pr_20_29_14_16","Copper Clips","Pr_20_29_14"
"Pr_20_29_14_22","Deck Board Clips","Pr_20_29_14"
"Pr_20_29_14_28","Earthing And Bonding Clamps","Pr_20_29_14"
"Pr_20_29_14_30","Fence Panel Clips","Pr_20_29_14"
"Pr_20_29_14_31","Frame Clamps","Pr_20_29_14"
"Pr_20_29_14_34","Glass Panels Fixing Clips","Pr_20_29_14"
"Pr_20_29_14_43","Insulation Saddle Clips","Pr_20_29_14"
"Pr_20_29_14_45","Lift-Off Panel Clips","Pr_20_29_14"
"Pr_20_29_14_46","Lightning Protection Conductor Clamps","Pr_20_29_14"
"Pr_20_29_14_47","Lightning Protection Conductor Metallic Direct Contact Clips","Pr_20_29_14"
"Pr_20_29_14_48","Lightning Protection Conductor Non-Metallic Direct Contact Clips","Pr_20_29_14"
"Pr_20_29_14_50","Masonry Clamps","Pr_20_29_14"
"Pr_20_29_14_52","Metal Cladding Solar Module Clamps","Pr_20_29_14"
"Pr_20_29_14_68","Push-Fit Panel Clips","Pr_20_29_14"
"Pr_20_29_14_71","Roofing Clamping Plates","Pr_20_29_14"
"Pr_20_29_14_72","Roofing Clamps","Pr_20_29_14"
"Pr_20_29_14_76","Security Glazing Clips","Pr_20_29_14"
"Pr_20_29_14_82","Stainless Steel Clips","Pr_20_29_14"
"Pr_20_29_14_83","Stainless Steel Spring Clips","Pr_20_29_14"
"Pr_20_29_14_84","Standing Seam Fixed Clips","Pr_20_29_14"
"Pr_20_29_14_85","Standing Seam Sliding Clips","Pr_20_29_14"
"Pr_20_29_14_87","Suspended Ceiling Clips","Pr_20_29_14"
"Pr_20_29_14_90","Truss Clips","Pr_20_29_14"
"Pr_20_29_23","Dowels And Rods","Pr_20_29"
