"Code","Description","Parent"
"Zz_10","Title Sheet","Zz"
"Zz_10_20","Drawing Frame","Zz_10"
"Zz_10_20_45","Logo","Zz_10_20"
"Zz_10_20_95","Viewports","Zz_10_20"
"Zz_10_40","Hold Clouds And Notation","Zz_10"
"Zz_10_70","Revisions","Zz_10"
"Zz_10_70_05","Annotation","Zz_10_70"
"Zz_10_70_10","Blocks And Cells","Zz_10_70"
"Zz_10_70_20","Clouds And Notations","Zz_10_70"
"Zz_10_80","Status Stamps","Zz_10"
"Zz_20","Textual Content","Zz"
"Zz_20_10","Annotation","Zz_20"
"Zz_20_10_40","Keynotes","Zz_20_10"
"Zz_20_10_45","Labels","Zz_20_10"
"Zz_20_10_50","Leaders","Zz_20_10"
"Zz_20_10_55","Notes","Zz_20_10"
"Zz_20_10_70","Reference","Zz_20_10"
"Zz_20_10_85","Tags","Zz_20_10"
"Zz_20_10_90","Text","Zz_20_10"
"Zz_20_20","Dimensions","Zz_20"
"Zz_20_30","General Masking","Zz_20"
"Zz_20_30_50","Masks","Zz_20_30"
"Zz_20_30_95","Wipeouts","Zz_20_30"
"Zz_20_40","Hatching","Zz_20"
"Zz_20_40_05","Area Fill","Zz_20_40"
"Zz_20_40_35","Hatch Boundaries","Zz_20_40"
"Zz_20_40_60","Pattern","Zz_20_40"
"Zz_20_40_80","Solid Fill","Zz_20_40"
"Zz_20_70","Redlining","Zz_20"
"Zz_20_70_20","Comments","Zz_20_70"
"Zz_20_70_50","Linework","Zz_20_70"
"Zz_20_80","Symbols","Zz_20"
"Zz_20_80_10","Barscales","Zz_20_80"
"Zz_20_80_15","Cross References","Zz_20_80"
"Zz_20_80_40","Key Plan","Zz_20_80"
"Zz_20_80_50","Legends","Zz_20_80"
"Zz_20_80_55","North Point","Zz_20_80"
"Zz_20_90","Title Annotation","Zz_20"
"Zz_30","Insertions","Zz"
"Zz_30_20","Blocks And Cells","Zz_30"
"Zz_30_30","External References","Zz_30"
"Zz_30_40","Images","Zz_30"
"Zz_30_60","Objects","Zz_30"
"Zz_30_90","Tables And Schedules","Zz_30"
"Zz_35","Setting Out","Zz"
"Zz_35_10","Alignments And Super Elevations","Zz_35"
"Zz_35_10_40","Horizontal Alignment","Zz_35_10"
"Zz_35_10_80","Super Elevation","Zz_35_10"
"Zz_35_10_90","Vertical Alignment","Zz_35_10"
"Zz_35_20","Centrelines","Zz_35"
"Zz_35_30","Geospatial Control Points","Zz_35"
"Zz_35_40","Gridlines","Zz_35"
"Zz_35_40_20","Ceiling Grid","Zz_35_40"
"Zz_35_40_80","Structural Grid","Zz_35_40"
"Zz_35_60","Points","Zz_35"
"Zz_35_80","Survey Control Points","Zz_35"
"Zz_35_80_55","Os Bench Mark","Zz_35_80"
"Zz_35_80_60","Os Trigonometrical Station","Zz_35_80"
"Zz_35_80_80","Site Bench Mark","Zz_35_80"
"Zz_35_80_85","Site Survey Control Station","Zz_35_80"
"Zz_35_80_90","Temporary Bench Mark","Zz_35_80"
"Zz_40","Topography","Zz"
"Zz_40_15","Contours","Zz_40"
"Zz_40_15_50","Major Contours","Zz_40_15"
"Zz_40_15_55","Minor Contours","Zz_40_15"
"Zz_40_20","Cuttings And Embankment Indicators","Zz_40"
"Zz_40_50","Level Indicators","Zz_40"
"Zz_50","Zones And Boundaries","Zz"
"Zz_50_10","Boundaries","Zz_50"
"Zz_50_10_10","Blue Line Boundary (Bs 8541-2)","Zz_50_10"
"Zz_50_10_70","Red Line Boundary (Bs 8541-2)","Zz_50_10"
"Zz_50_50","Lots","Zz_50"
"Zz_50_60","Parcels","Zz_50"
"Zz_50_90","Volumes","Zz_50"
"Zz_50_95","Zones","Zz_50"
"Zz_60","Drawing Symbols","Zz"
"Zz_60_20","Detail Call Ups","Zz_60"
"Zz_60_30","Fall Indicators","Zz_60"
"Zz_60_40","Joint Lines","Zz_60"
"Zz_60_40_15","Construction Joints","Zz_60_40"
"Zz_60_40_20","Contraction Joints","Zz_60_40"
"Zz_60_40_30","Expansion Joints","Zz_60_40"
"Zz_60_45","Levels","Zz_60"
"Zz_60_45_20","Datum","Zz_60_45"
"Zz_60_45_60","Original Ground Level","Zz_60_45"
"Zz_60_45_70","Regrade Ground Level","Zz_60_45"
"Zz_60_50","Markers","Zz_60"
"Zz_60_50_10","Break Marks","Zz_60_50"
"Zz_60_50_20","Callout Marks","Zz_60_50"
"Zz_60_50_30","Elevation Marks","Zz_60_50"
"Zz_60_50_60","Plan","Zz_60_50"
"Zz_60_50_80","Section Marks","Zz_60_50"
"Zz_60_50_85","Span Direction Markers","Zz_60_50"
"Zz_60_50_90","Void And Opening Markers","Zz_60_50"
"Zz_60_55","Match Lines","Zz_60"
"Zz_70","Views","Zz"
"Zz_70_05","3D Views","Zz_70"
"Zz_70_20","Details","Zz_70"
"Zz_70_30","Elevations","Zz_70"
"Zz_70_60","Plans","Zz_70"
"Zz_70_80","Sections","Zz_70"
"Zz_70_90","Visualisations","Zz_70"
"Zz_80","Presentation","Zz"
"Zz_80_30","Entourage","Zz_80"
"Zz_80_45","Lines","Zz_80"
"Zz_80_45_10","Fine","Zz_80_45"
"Zz_80_45_20","Thin","Zz_80_45"
"Zz_80_45_30","Light","Zz_80_45"
"Zz_80_45_40","Medium","Zz_80_45"
"Zz_80_45_50","Heavy","Zz_80_45"
"Zz_80_45_60","Wide","Zz_80_45"
