"Code","Description","Parent","Table","Version"
"A","Form of information","uniclass","A","1.4"
"A1","General reference works","A","A","1.4"
"A11","Dictionaries, encyclopedias","A1","A","1.4"
"A111","Dictionaries","A11","A","1.4"
"A112","Encyclopedias","A11","A","1.4"
"A12","Guides, directories","A1","A","1.4"
"A121","Guides","A12","A","1.4"
"A122","Directories","A12","A","1.4"
"A13","Catalogues","A1","A","1.4"
"A14","Surveys, maps","A1","A","1.4"
"A15","Statistics","A1","A","1.4"
"A16","Price books","A1","A","1.4"
"A17","Learning materials, textbooks","A1","A","1.4"
"A18","Reports","A1","A","1.4"
"A19","Other","A1","A","1.4"
"A2","Legislation, legal documents","A","A","1.4"
"A21","Primary legislation (Acts of Parliament) UK","A2","A","1.4"
"A22","Secondary legislation UK","A2","A","1.4"
"A221","Statutory Instruments, etc.","A22","A","1.4"
"A222","Bylaws","A22","A","1.4"
"A23","Quasi-legislation (also called tertiary legislation) UK","A2","A","1.4"
"A24","International, European legislation","A2","A","1.4"
"A25","Case law reports","A2","A","1.4"
"A26","Patents, licences, copyright","A2","A","1.4"
"A261","Patents","A26","A","1.4"
"A262","Licences","A26","A","1.4"
"A263","Copyright","A26","A","1.4"
"A29","Other legislation, legal documents","A2","A","1.4"
"A3","National and international standards","A","A","1.4"
"A31","British Standards","A3","A","1.4"
"A32","European Standards","A3","A","1.4"
"A33","ISO Standards","A3","A","1.4"
"A34","De facto standards","A3","A","1.4"
"A39","Other","A3","A","1.4"
"A4","Other rules, recommendations","A","A","1.4"
"A41","COSHH","A4","A","1.4"
"A42","WRAP","A4","A","1.4"
"A5","Standard specifications","A","A","1.4"
"A6","Standard contracts","A","A","1.4"
"A9","Types of medium","A","A","1.4"
"A91","Books","A9","A","1.4"
"A92","Journals","A9","A","1.4"
"A93","Pamphlets, leaflets, unbound printed material","A9","A","1.4"
"A94","Drawings, artwork, graphics","A9","A","1.4"
"A95","Photographic information","A9","A","1.4"
"A96","Microfiche, microfilm","A9","A","1.4"
"A97","Video, film","A9","A","1.4"
"A98","Media accessed via a computer","A9","A","1.4"
"A981","Optical discs, CD-ROM, DVD","A98","A","1.4"
"A982","Magnetic disks, floppy disks","A98","A","1.4"
"A983","Magnetic tape","A98","A","1.4"
"A984","Online information, Internet information","A98","A","1.4"
"A99","Other special forms of information","A9","A","1.4"
"A991","Models","A99","A","1.4"
"B","Subject disciplines","uniclass","B","1.4"
"B1","Architecture","B","B","1.4"
"B11","Architecture by name of architect","B1","B","1.4"
"B12","Architecture by geographical region, guidebooks","B1","B","1.4"
"B13","History of Architecture","B1","B","1.4"
"B14","Architectural design (excluding structural design), spatial design","B1","B","1.4"
"B15","Interior design","B1","B","1.4"
"B16","Landscape architecture","B1","B","1.4"
"B2","Engineering","B","B","1.4"
"B21","Engineering by name of engineer","B2","B","1.4"
"B22","Engineering by geographical region","B2","B","1.4"
"B23","History of engineering","B2","B","1.4"
"B24","Civil engineering, general","B2","B","1.4"
"B25","Structural engineering","B2","B","1.4"
"B26","Services engineering","B2","B","1.4"
"B261","Building services engineering","B26","B","1.4"
"B262","Mechanical Engineering","B26","B","1.4"
"B263","Electrical engineering","B26","B","1.4"
"B27","Other engineering","B2","B","1.4"
"B3","Surveyor","B","B","1.4"
"B31","Quantity surveying, cost analysis","B3","B","1.4"
"B32","Building surveying","B3","B","1.4"
"B33","Site surveying, land surveying","B3","B","1.4"
"B4","Contracting, building","B","B","1.4"
"B5","Town and country planning","B","B","1.4"
"B50","History and theory of planning","B5","B","1.4"
"B51","Planning control","B5","B","1.4"
"B52","Planning policy guidance (ppg)","B5","B","1.4"
"B53","Regional planning","B5","B","1.4"
"B54","Development plans","B5","B","1.4"
"B55","Rural planning","B5","B","1.4"
"B56","Urban planning","B5","B","1.4"
"B57","Environmental planning","B5","B","1.4"
"B571","Environmental assessment","B57","B","1.4"
"B572","United States Environmental Protection Agency","B57","B","1.4"
"B573","Contaminated land","B57","B","1.4"
"B574","Site of Special Scientific Interest","B57","B","1.4"
"B575","Parks, National parks","B57","B","1.4"
"B58","Conservation","B5","B","1.4"
"B581","Conservation areas","B58","B","1.4"
"B582","Historic buildings","B58","B","1.4"
"B583","Ancient monuments","B58","B","1.4"
"B584","Archaeological areas","B58","B","1.4"
"B59","Other kinds of planning","B5","B","1.4"
"B591","Planning for gypsies, travellers","B59","B","1.4"
"B7","Other construction-related disciplines","B","B","1.4"
"B71","GIS (Geographical Information System) engineering","B7","B","1.4"
"B9","Other disciplines","B","B","1.4"
"B91","Law","B9","B","1.4"
"B911","International law, EU law","B91","B","1.4"
"B912","National law","B91","B","1.4"
"B913","Financial law including taxation","B91","B","1.4"
"B914","Criminal law","B91","B","1.4"
"B915","Civil law","B91","B","1.4"
"B916","Legal practice and procedure","B91","B","1.4"
"B9161","National, EU, etc. practice and procedure","B916","B","1.4"
"B9162","Public inquiries, appeals","B916","B","1.4"
"B9163","Dispute procedures","B916","B","1.4"
"B917","Legal professional responsibilities and roles","B91","B","1.4"
"B92","Science/technology","B9","B","1.4"
"B93","Computing, information technology","B9","B","1.4"
"B931","Computer hardware","B93","B","1.4"
"B932","Computer software","B93","B","1.4"
"B933","Computer applications","B93","B","1.4"
"B9331","Networking, intranet","B933","B","1.4"
"B9332","E-mail","B933","B","1.4"
"B9333","Internet, World Wide Web","B933","B","1.4"
"B94","Behavioural sciences","B9","B","1.4"
"B95","Communication","B9","B","1.4"
"B96","Political Science","B9","B","1.4"
"B97","Information science","B9","B","1.4"
"C","Management","uniclass","C","1.4"
"C1","Management theory, systems and activities","C","C","1.4"
"C11","Corporate strategy","C1","C","1.4"
"C111","Corporate policy, mission statements","C11","C","1.4"
"C112","Corporate planning","C11","C","1.4"
"C113","Corporate development","C11","C","1.4"
"C12","Quality management","C1","C","1.4"
"C121","Total quality management (TQM)","C12","C","1.4"
"C122","Management control","C12","C","1.4"
"C123","Quality assurance","C12","C","1.4"
"C13","Security, industrial espionage, trade secrets","C1","C","1.4"
"C14","Objective setting","C1","C","1.4"
"C15","Decision making","C1","C","1.4"
"C16","Problem solving","C1","C","1.4"
"C17","Co-ordination","C1","C","1.4"
"C18","Appraisal, assessment","C1","C","1.4"
"C181","SWOT analysis","C18","C","1.4"
"C19","Other","C1","C","1.4"
"C191","Delegation of authority","C19","C","1.4"
"C192","Ethics, responsibility, conduct","C19","C","1.4"
"C193","Awards","C19","C","1.4"
"C2","Management personnel","C","C","1.4"
"C21","Top management, directors, partners","C2","C","1.4"
"C211","President","C21","C","1.4"
"C212","Chairman","C21","C","1.4"
"C213","Chief executive","C21","C","1.4"
"C214","Managing director","C21","C","1.4"
"C215","Partner","C21","C","1.4"
"C216","Other executive director","C21","C","1.4"
"C217","Non-executive director","C21","C","1.4"
"C22","Other levels of management","C2","C","1.4"
"C3","Type of business/ organisation","C","C","1.4"
"C31","Organisations by scale and location","C3","C","1.4"
"C311","International, multinational","C31","C","1.4"
"C312","European","C31","C","1.4"
"C313","UK","C31","C","1.4"
"C314","National organisations operating in countries other than the UK","C31","C","1.4"
"C315","Regional organisations","C31","C","1.4"
"C316","Local organisations","C31","C","1.4"
