"Code","Description","Parent"
"AC_25","Administrative, Commercial And Protective Service Activities","AC"
"AC_25_10","Legislative Activities","AC_25"
"AC_25_10_15","Council Activities","AC_25_10"
"AC_25_10_33","Gallery Viewing Of Council Activities","AC_25_10"
"AC_25_10_34","Gallery Viewing Of Parliamentary Activities","AC_25_10"
"AC_25_10_60","Parliamentary Activities","AC_25_10"
"AC_25_20","Institutional Administrative Activities","AC_25"
"AC_25_20_07","Benefits Administration","AC_25_20"
"AC_25_20_40","Individual Institutional Activities","AC_25_20"
"AC_25_20_42","Institutional Cash Taking","AC_25_20"
"AC_25_20_43","Institutional Word Processing","AC_25_20"
"AC_25_20_44","Job Centre Administration","AC_25_20"
"AC_25_20_59","Open-Plan Institutional Activities","AC_25_20"
"AC_25_20_65","Press Activities","AC_25_20"
"AC_25_20_77","Shared Institutional Activities","AC_25_20"
"AC_25_20_96","War Room Activities (Crash Planning)","AC_25_20"
"AC_25_30","Secular Representative Activities","AC_25"
"AC_25_30_16","Consulate Receptions","AC_25_30"
"AC_25_30_27","Embassy Receptions","AC_25_30"
"AC_25_30_37","High Commission Receptions","AC_25_30"
"AC_25_30_47","Legation Receptions","AC_25_30"
"AC_25_30_60","Passport Administration","AC_25_30"
"AC_25_30_63","Pedestrian Security Checking","AC_25_30"
"AC_25_30_95","Vehicular Security Checking","AC_25_30"
"AC_25_35","Religious Representative Activities","AC_25"
"AC_25_35_71","Religious Representative Receptions","AC_25_35"
"AC_25_40","Financial Activities","AC_25"
"AC_25_40_06","Banking","AC_25_40"
"AC_25_40_07","Bank Telling","AC_25_40"
"AC_25_40_19","Currency Exchanging","AC_25_40"
"AC_25_40_22","Dealing","AC_25_40"
"AC_25_40_75","Safe Depositing","AC_25_40"
"AC_25_40_90","Trading","AC_25_40"
"AC_25_40_94","Vault Storing","AC_25_40"
"AC_25_50","Commercial Administrative Activities","AC_25"
"AC_25_50_04","Art And Designing","AC_25_50"
"AC_25_50_11","Caretaking","AC_25_50"
"AC_25_50_23","Drawing","AC_25_50"
"AC_25_50_28","Executive Activities","AC_25_50"
"AC_25_50_30","Filing","AC_25_50"
"AC_25_50_42","Individual Commercial Activities","AC_25_50"
"AC_25_50_59","Open-Plan Commercial Activities","AC_25_50"
"AC_25_50_64","Photocopying","AC_25_50"
"AC_25_50_77","Shared Commercial Activities","AC_25_50"
"AC_25_50_80","Stationery Storing","AC_25_50"
"AC_25_50_96","Word Processing","AC_25_50"
"AC_25_50_97","Workstation Activities","AC_25_50"
"AC_25_60","Motor Vehicle Sale, Maintenance And Fuel Activities","AC_25"
"AC_25_60_11","Car Washing","AC_25_60"
"AC_25_60_50","Motor Cycle Maintaining","AC_25_60"
"AC_25_60_51","Motor Cycle Parts And Accessories Selling","AC_25_60"
"AC_25_60_52","Motor Cycle Selling","AC_25_60"
"AC_25_60_53","Motor Vehicle Maintaining","AC_25_60"
