"Code","Description","Parent"
"EF_10","Bridges And Viaducts","EF"
"EF_10_10","Arch Bridges","EF_10"
"EF_10_20","Cable Stayed Bridges","EF_10"
"EF_10_25","Cantilever Bridges","EF_10"
"EF_10_50","Moveable Bridges","EF_10"
"EF_10_50_10","Bascules","EF_10_50"
"EF_10_50_70","Retractable Bridges","EF_10_50"
"EF_10_50_75","Swing Bridges","EF_10_50"
"EF_10_50_80","Tilt Bridges","EF_10_50"
"EF_10_50_90","Vertical Lift Bridges","EF_10_50"
"EF_10_70","Simple Span Bridges","EF_10"
"EF_10_70_10","On Abutments","EF_10_70"
"EF_10_70_15","On Access Towers","EF_10_70"
"EF_10_75","Suspension Bridges","EF_10"
"EF_10_90","Viaducts","EF_10"
"EF_15","Buildings","EF"
"EF_15_","70 Permanent Buildings","EF_"
"EF_15_20","Floating Buildings","EF_15"
"EF_15_50","Mobile And Temporary Buildings","EF_15"
"EF_15_50_20","Demountable Buildings","EF_15_50"
"EF_15_50_50","Mobile Buildings","EF_15_50"
"EF_15_50_80","Temporary Buildings","EF_15_50"
"EF_15_90","Underground Buildings","EF_15"
"EF_20","Cables","EF"
"EF_20_10","Buried","EF_20"
"EF_20_70","Suspended","EF_20"
"EF_25","Containing Structures","EF"
"EF_25_30","Gasholders","EF_25"
"EF_25_30_65","Rigid Gasholders","EF_25_30"
"EF_25_30_75","Telescopic Gasholders","EF_25_30"
"EF_25_50","Ponds","EF_25"
"EF_25_55","Reservoirs","EF_25"
"EF_25_60","Silos","EF_25"
"EF_25_75","Tanks","EF_25"
"EF_25_75_20","Enclosed Tanks","EF_25_75"
"EF_25_75_50","Open Tanks","EF_25_75"
"EF_30","Dividing Structures","EF"
"EF_30_30","Dividing Walls","EF_30"
"EF_30_35","Dividing Fences","EF_30"
"EF_35","Ground Contouring","EF"
"EF_35_30","Dredging","EF_35"
"EF_35_40","Earthworks","EF_35"
"EF_35_45","Ground Remediation","EF_35"
"EF_35_90","Unreinforced Earth Embankments","EF_35"
"EF_40","Landscaping","EF"
"EF_40_10","Area Pavements","EF_40"
"EF_40_20","Decorative Accessible Planted Landscaping","EF_40"
"EF_40_25","Decorative In-Accessible Planted Landscaping","EF_40"
"EF_40_50","Open Landscaping","EF_40"
"EF_40_50","Linear Pavements","EF_40"
"EF_40_50_10","Single Carriageway","EF_40_50"
"EF_40_50_40","Dual Carriageway","EF_40_50"
"EF_40_50_70","Grade Separated Carriageway","EF_40_50"
"EF_45","Pavements","EF"
"EF_50","Open Conduits","EF"
"EF_50_20","Canals","EF_50"
"EF_50_25","Channels","EF_50"
"EF_50_30","Ditches","EF_50"
"EF_50_70","Trenches","EF_50"
"EF_55","Pipelines And Ducts","EF"
"EF_55_20","Ducts","EF_55"
"EF_55_20_70","Supported","EF_55_20"
"EF_55_20_90","Underground","EF_55_20"
"EF_55_60","Pipelines","EF_55"
"EF_55_60_70","Supported","EF_55_60"
"EF_55_60_90","Underground","EF_55_60"
"EF_60","Jetties, Piers, Platforms And Quays","EF"
"EF_60_40","Jetties","EF_60"
"EF_60_40_30","Floating Jetties, Anchored","EF_60_40"
"EF_60_40_30","Floating Piers, Anchored","EF_60_40"
"EF_60_40_35","Floating Jetties, Moored To Land","EF_60_40"
"EF_60_40_35","Floating Piers, Moored To Land","EF_60_40"
"EF_60_40_40","Jetties Floating One End","EF_60_40"
"EF_60_40_50","Open Piled Jetties","EF_60_40"
"EF_60_40_50","Open Piled Piers","EF_60_40"
"EF_60_40_55","Part Solid, Part Open Piled Jetties","EF_60_40"
"EF_60_40_55","Part Solid Part Open Piled Piers","EF_60_40"
"EF_60_40_60","Solid Jetties","EF_60_40"
"EF_60_40_60","Piers Floating One End","EF_60_40"
"EF_60_45","Piers","EF_60"
"EF_60_45_65","Solid Piers","EF_60_45"
"EF_60_50","Quays","EF_60"
"EF_60_50_50","Open Piled Quays","EF_60_50"
"EF_60_50_55","Sheet Pile Quays","EF_60_50"
"EF_60_50_65","Solid Quays","EF_60_50"
"EF_60_60","Platforms","EF_60"
"EF_60_60_20","Double Sided Platforms","EF_60_60"
"EF_60_60_65","Single Sided Platforms","EF_60_60"
"EF_65","Railways","EF"
"EF_65_20","Cable Car Railways","EF_65"
"EF_65_30","Guided Bus Ways","EF_65"
"EF_65_40","Magnetic Levitation Railways","EF_65"
"EF_65_45","Monorails","EF_65"
"EF_65_60","Rack Railways","EF_65"
"EF_65_65","Railways","EF_65"
"EF_65_65_30","Heavy Railways","EF_65_65"
"EF_65_65_35","High-Speed Railways","EF_65_65"
"EF_65_65_50","Light Railways","EF_65_65"
"EF_65_70","Suspended Cableways","EF_65"
"EF_65_80","Tramways","EF_65"
"EF_70_60","Retaining/Protection Walls","EF_70"
"EF_70_60_50","Protection Walls","EF_70_60"
"EF_70_60_60","Retaining Walls","EF_70_60"
"EF_75","Retaining Structures","EF"
"EF_75_25","Dams","EF_75"
"EF_75_25_05","Arch Dams","EF_75_25"
"EF_75_25_10","Buttress Dams","EF_75_25"
"EF_75_25_20","Embankment Dams","EF_75_25"
"EF_75_25_30","Gravity Arch Dams","EF_75_25"
"EF_75_25_35","Gravity Dams","EF_75_25"
"EF_75_55","Reinforced Embankments","EF_75"
"EF_80","Support Structures And Towers","EF"
"EF_80_20","Chimneys","EF_80"
"EF_80_25","Cooling Towers","EF_80"
"EF_80_40","Gantries","EF_80"
"EF_80_50","Masts","EF_80"
"EF_80_55","Ornamental","EF_80"
"EF_80_70","Towers","EF_80"
"EF_80_80_50","Solid Towers","EF_80_80"
"EF_80_80_60","Hollow Towers","EF_80_80"
"EF_80_80_70","Lattice Towers","EF_80_80"
"EF_90","Tunnels And Shafts","EF"
"EF_90_10","Bored Tunnels","EF_90"
"EF_90_20","Cut And Cover Tunnels","EF_90"
"EF_90_40","Immersed Tube Tunnels","EF_90"
"EF_90_70","Shafts","EF_90"
"EF_95","Wells","EF"
"EF_95_10","Bored Wells","EF_95"
"EF_95_20","Driven Wells","EF_95"
"EF_95_25","Dug Wells","EF_95"
