"Code","Description","Parent"
"En_20","Administrative, Commercial And Protective Service Entities","En"
"En_20_10","Legislative Entities","En_20"
"En_20_10_10","International Legislative Buildings","En_20_10"
"En_20_10_30","National Legislative Buildings","En_20_10"
"En_20_10_50","Regional Legislative Buildings","En_20_10"
"En_20_10_70","Local Legislative Buildings","En_20_10"
"En_20_20","Secular Administrative Entities","En_20"
"En_20_20_10","International Official Administrative Buildings","En_20_20"
"En_20_20_30","National Official Administrative Buildings","En_20_20"
"En_20_20_50","Regional Official Administrative Buildings","En_20_20"
"En_20_20_70","Local Official Administrative Buildings","En_20_20"
"En_20_30","Secular Representative Entities","En_20"
"En_20_30_10","International Official Representative Buildings","En_20_30"
"En_20_30_30","National Official Representative Buildings","En_20_30"
"En_20_30_50","Regional Official Representative Buildings","En_20_30"
"En_20_30_70","Local Official Representative Buildings","En_20_30"
"En_20_35","Religious Representative Entities","En_20"
"En_20_35_10","International Religious Representative Buildings","En_20_35"
"En_20_35_30","National Religious Representative Buildings","En_20_35"
"En_20_35_50","Regional Religious Representative Buildings","En_20_35"
"En_20_35_70","Local Religious Representative Buildings","En_20_35"
"En_20_40","Financial Entities","En_20"
"En_20_40_10","International Financial Buildings","En_20_40"
"En_20_40_30","National Financial Buildings","En_20_40"
"En_20_40_50","Regional Financial Buildings","En_20_40"
"En_20_40_70","Local Financial Buildings","En_20_40"
"En_20_50","Commercial Administrative Entities","En_20"
"En_20_50_10","Multiple Office Buildings","En_20_50"
"En_20_50_40","Large Single Office Buildings","En_20_50"
"En_20_50_70","Small Single Office Buildings","En_20_50"
"En_20_60","Commercial Wholesale And Retail Entities","En_20"
"En_20_60_10","Multiple Wholesale Buildings","En_20_60"
"En_20_60_11","Multiple Wholesale Grounds","En_20_60"
"En_20_60_20","Large Single Wholesale Buildings","En_20_60"
"En_20_60_21","Large Single Wholesale Grounds","En_20_60"
"En_20_60_30","Small Single Wholesale Buildings","En_20_60"
"En_20_60_31","Small Single Wholesale Grounds","En_20_60"
"En_20_60_50","Auction Buildings","En_20_60"
"En_20_60_51","Auction Grounds","En_20_60"
"En_20_60_70","Multiple Retail Buildings","En_20_60"
"En_20_60_71","Multiple Retail Grounds","En_20_60"
"En_20_60_80","Large Single Retail Buildings","En_20_60"
"En_20_60_81","Large Single Retail Grounds","En_20_60"
"En_20_60_90","Small Single Retail Buildings","En_20_60"
"En_20_60_91","Small Single Retail Grounds","En_20_60"
"En_20_65","Postal Communications Entities","En_20"
"En_20_65_10","Postal Communications Buildings","En_20_65"
"En_20_70","Military Entities","En_20"
"En_20_70_10","International Military Buildings","En_20_70"
"En_20_70_30","National Military Buildings","En_20_70"
"En_20_70_31","National Military Grounds","En_20_70"
"En_20_70_50","Regional Military Buildings","En_20_70"
"En_20_70_51","Regional Military Grounds","En_20_70"
"En_20_70_70","Local Military Buildings","En_20_70"
"En_20_70_71","Local Military Grounds","En_20_70"
"En_20_70_90","Temporary Military Buildings","En_20_70"
"En_20_80","Law Enforcement And Judicial Entities","En_20"
"En_20_80_10","International Law Enforcement Buildings","En_20_80"
"En_20_80_20","International Judicial Buildings","En_20_80"
"En_20_80_30","National Law Enforcement Buildings","En_20_80"
"En_20_80_40","National Judicial Buildings","En_20_80"
"En_20_80_50","Regional Law Enforcement Buildings","En_20_80"
"En_20_80_60","Regional Judicial Buildings","En_20_80"
"En_20_80_70","Local Law Enforcement Buildings","En_20_80"
"En_20_80_80","Local Judicial Buildings","En_20_80"
"En_20_85","Detention Entities","En_20"
"En_20_85_10","International Detention Buildings","En_20_85"
"En_20_85_11","International Detention Grounds","En_20_85"
"En_20_85_30","National Detention Buildings","En_20_85"
"En_20_85_31","National Detention Grounds","En_20_85"
"En_20_85_50","Regional Detention Buildings","En_20_85"
"En_20_85_51","Regional Detention Grounds","En_20_85"
"En_20_85_70","Local Detention Buildings","En_20_85"
"En_20_85_71","Local Detention Grounds","En_20_85"
"En_20_90","Fire And Rescue Entities","En_20"
"En_20_90_10","International Fire And Rescue Buildings","En_20_90"
"En_20_90_30","National Fire And Rescue Buildings","En_20_90"
"En_20_90_50","Regional Fire And Rescue Buildings","En_20_90"
"En_20_90_70","Local Fire And Rescue Buildings","En_20_90"
"En_20_90_90","Temporary Fire And Rescue Buildings","En_20_90"
"En_25","Cultural, Educational, Scientific And Information Entities","En"
"En_25_05","Cultural Entities","En_25"
"En_25_10","Educational Entities","En_25"
"En_25_10_10","Infant Educational Buildings","En_25_10"
"En_25_10_11","Infant Educational Grounds","En_25_10"
"En_25_10_20","Primary Educational Buildings (E.G. Panelled, Framed, Modular Classrooms)","En_25_10"
"En_25_10_21","Primary Educational Grounds","En_25_10"
"En_25_10_30","Secondary Educational Buildings","En_25_10"
"En_25_10_31","Secondary Educational Grounds","En_25_10"
"En_25_10_40","Pre-Tertiary Educational Buildings","En_25_10"
"En_25_10_41","Pre-Tertiary Educational Grounds","En_25_10"
"En_25_10_50","Tertiary Educational Buildings","En_25_10"
"En_25_10_51","Tertiary Educational Grounds","En_25_10"
"En_25_10_60","Adult Educational Buildings","En_25_10"
"En_25_10_61","Adult Educational Grounds","En_25_10"
"En_25_30","Scientific Entities","En_25"
"En_25_30_40","Laboratory Buildings","En_25_30"
"En_25_30_42","Laboratory Tunnels","En_25_30"
"En_25_30_45","Laboratory Tanks","En_25_30"
"En_25_30_46","Laboratory Gantries","En_25_30"
"En_25_30_48","Laboratory Pipelines","En_25_30"
"En_25_30_60","Observatory Buildings","En_25_30"
"En_25_30_66","Observatory Antennae","En_25_30"
"En_25_50","Exhibition Entities","En_25"
"En_25_50_10","Multipurpose Exhibition Buildings","En_25_50"
"En_25_50_11","Multipurpose Exhibition Grounds","En_25_50"
"En_25_50_20","Art Exhibition Buildings","En_25_50"
"En_25_50_21","Art Exhibition Grounds","En_25_50"
"En_25_50_30","Collection Exhibition Buildings","En_25_50"
"En_25_50_31","Collection Exhibition Grounds","En_25_50"
"En_25_50_40","Fauna Exhibition Buildings","En_25_50"
"En_25_50_41","Fauna Exhibition Grounds","En_25_50"
"En_25_50_50","Flora Exhibition Buildings","En_25_50"
"En_25_50_51","Flora Exhibition Grounds","En_25_50"
"En_25_50_90","Temporary Exhibition Buildings","En_25_50"
"En_25_50_91","Temporary Exhibition Grounds","En_25_50"
"En_25_70","Information Entities","En_25"
"En_25_70_10","Archive Buildings","En_25_70"
"En_25_70_20","Conference Buildings","En_25_70"
"En_25_70_40","Library Buildings","En_25_70"
"En_25_90","Worship Entities","En_25"
"En_25_90_10","Multiple Worship Buildings","En_25_90"
"En_25_90_40","Large Single Worship Buildings","En_25_90"
"En_25_90_70","Small Single Worship Buildings","En_25_90"
"En_30","Industrial Entities","En"
"En_30_10","Mineral Extraction Entities","En_30"
"En_30_10_20","Surface Mining Buildings","En_30_10"
"En_30_10_24","Surface Mining Cuttings","En_30_10"
"En_30_10_26","Surface Mining Gantries","En_30_10"
"En_30_10_27","Surface Mining Spoil Heaps","En_30_10"
"En_30_10_29","Surface Mining Conveyors","En_30_10"
"En_30_10_30","Underground Mining Buildings","En_30_10"
"En_30_10_32","Underground Mining Tunnels And Shafts","En_30_10"
"En_30_10_36","Underground Mining Gantries","En_30_10"
"En_30_10_37","Underground Mining Spoil Heaps","En_30_10"
"En_30_10_50","Offshore Oil And Gas Extraction Platforms","En_30_10"
"En_30_10_58","Offshore Oil And Gas Extraction Pipelines","En_30_10"
"En_30_10_60","Onshore Oil And Gas Extraction Buildings","En_30_10"
"En_30_10_68","Onshore Oil And Gas Extraction Pipelines","En_30_10"
"En_30_10_80","Mineral Storage Buildings","En_30_10"
"En_30_10_85","Mineral Storage Silos","En_30_10"
"En_30_10_89","Mineral Storage Conveyors","En_30_10"
"En_30_10_90","Oil And Gas Storage Buildings","En_30_10"
"En_30_10_95","Oil And Gas Storage Bunds","En_30_10"
"En_30_10_96","Oil And Gas Storage Tanks","En_30_10"
"En_30_20","Agricultural Entities","En_30"
"En_30_20_10","Forestry Buildings","En_30_20"
"En_30_20_11","Natural Forests","En_30_20"
"En_30_20_12","Forestry Plantations","En_30_20"
"En_30_20_20","Extensive Crop Growing Buildings","En_30_20"
"En_30_20_21","Extensive Crop Growing Grounds","En_30_20"
"En_30_20_30","Intensive Crop Growing Buildings","En_30_20"
"En_30_20_40","Extensive Horticultural Buildings","En_30_20"
"En_30_20_41","Extensive Horticultural Grounds","En_30_20"
"En_30_20_50","Intensive Horticultural Buildings (E.G. Glasshouses)","En_30_20"
"En_30_20_60","Extensive Livestock Buildings","En_30_20"
"En_30_20_61","Extensive Livestock Grounds","En_30_20"
"En_30_20_70","Intensive Livestock Buildings","En_30_20"
"En_30_20_80","Fishing Buildings","En_30_20"
"En_30_20_81","Fishing Platforms","En_30_20"
"En_30_20_85","Fishing Cages","En_30_20"
"En_30_20_86","Fish Rearing Tanks","En_30_20"
"En_30_20_90","Agricultural Storage Buildings","En_30_20"
"En_30_20_95","Agricultural Storage Silos","En_30_20"
"En_30_30","Mineral Processing Entities","En_30"
"En_30_30_20","Ore Processing Buildings","En_30_30"
"En_30_30_25","Ore Processing Silos","En_30_30"
"En_30_30_29","Ore Processing Conveyors","En_30_30"
"En_30_30_50","Oil And Gas Processing Buildings","En_30_30"
"En_30_30_55","Oil And Gas Processing Bunds","En_30_30"
"En_30_30_56","Oil And Gas Processing Tanks","En_30_30"
"En_30_30_58","Oil And Gas Processing Pipelines","En_30_30"
"En_30_40","Agricultural Processing Entities","En_30"
"En_30_40_10","Timber Processing Buildings","En_30_40"
"En_30_40_11","Timber Processing Grounds","En_30_40"
"En_30_40_20","Crop Processing Buildings","En_30_40"
"En_30_40_40","Horticultural Processing Buildings","En_30_40"
"En_30_40_60","Livestock Processing Buildings","En_30_40"
"En_30_40_80","Fish Processing Buildings","En_30_40"
"En_30_50","Manufacturing Entities","En_30"
"En_30_50_10","Multiple Manufacturing Buildings","En_30_50"
"En_30_50_11","Multiple Manufacturing Grounds","En_30_50"
"En_30_50_40","Large Single Manufacturing Buildings","En_30_50"
"En_30_50_41","Large Single Manufacturing Grounds","En_30_50"
"En_30_50_45","Large Single Manufacturing Tanks And Silos","En_30_50"
"En_30_50_46","Large Single Manufacturing Gantries","En_30_50"
"En_30_50_47","Large Single Manufacturing Chimney Stacks","En_30_50"
"En_30_50_49","Large Single Manufacturing Conveyors","En_30_50"
"En_30_50_70","Small Single Manufacturing Buildings","En_30_50"
"En_30_50_71","Small Single Manufacturing Grounds","En_30_50"
"En_30_60","Cleaning And Maintenance Entities","En_30"
"En_30_60_40","Laundry Buildings","En_30_60"
"En_30_90","Warehousing And Distribution Entities","En_30"
"En_30_90_10","Goods Warehousing Buildings","En_30_90"
"En_30_90_50","Goods Distribution Buildings","En_30_90"
"En_30_95","Storage Entities","En_30"
"En_30_95_40","Long-Term Storage Buildings","En_30_95"
"En_30_95_41","Long-Term Storage Grounds","En_30_95"
"En_30_95_70","Short-Term Storage Buildings","En_30_95"
"En_30_95_71","Short-Term Storage Grounds","En_30_95"
"En_35","Medical, Health, Welfare And Sanitary Entities","En"
"En_35_10","Medical Entities","En_35"
"En_35_10_10","Multiple Medical Buildings","En_35_10"
"En_35_10_40","Large Single Medical Buildings","En_35_10"
"En_35_10_41","Large Single Medical Grounds","En_35_10"
"En_35_10_46","Large Single Medical Chimney Stacks","En_35_10"
"En_35_10_70","Small Single Medical Buildings","En_35_10"
"En_35_10_71","Small Single Medical Grounds","En_35_10"
"En_35_10_90","Temporary Medical Buildings","En_35_10"
"En_35_30","Health Entities","En_35"
"En_35_30_10","Multiple Health Buildings","En_35_30"
"En_35_30_40","Large Single Health Buildings","En_35_30"
"En_35_30_70","Small Single Health Buildings","En_35_30"
"En_35_50","Welfare Entities","En_35"
"En_35_50_10","Visitor Welfare Buildings","En_35_50"
"En_35_50_30","Day Welfare Buildings","En_35_50"
"En_35_50_31","Day Welfare Grounds","En_35_50"
"En_35_50_50","Short-Term Residential Welfare Buildings","En_35_50"
"En_35_50_60","Long-Term Residential Welfare Buildings","En_35_50"
"En_35_70","Funerary Entities","En_35"
"En_35_70_10","Funeral Buildings","En_35_70"
"En_35_70_11","Funeral Grounds","En_35_70"
"En_35_70_30","Body Storage Buildings","En_35_70"
"En_35_70_50","Body Destruction Buildings","En_35_70"
"En_35_70_51","Body Destruction Grounds","En_35_70"
"En_35_70_70","Burial Buildings","En_35_70"
"En_35_70_71","Burial Grounds","En_35_70"
"En_35_70_90","Temporary Funerary Buildings","En_35_70"
"En_35_80","Sanitary Entities","En_35"
"En_35_80_10","Bathing Buildings","En_35_80"
"En_35_80_90","Toilet Buildings","En_35_80"
"En_35_90","Animal Medical, Health, Welfare, Funerary And Sanitary Entities","En_35"
"En_35_90_10","Animal Medical Buildings","En_35_90"
"En_35_90_30","Animal Health Buildings","En_35_90"
"En_35_90_50","Short-Term Residential Animal Welfare Buildings","En_35_90"
"En_35_90_51","Short-Term Residential Animal Welfare Grounds","En_35_90"
"En_35_90_60","Long-Term Residential Animal Welfare Buildings","En_35_90"
"En_35_90_61","Long-Term Residential Animal Welfare Grounds","En_35_90"
"En_35_90_70","Animal Funerary Buildings","En_35_90"
"En_35_90_71","Animal Burial Grounds","En_35_90"
"En_40","Recreational Entities","En"
"En_40_05","Amusement Entities","En_40"
"En_40_05_10","Multiple Amusement Buildings","En_40_05"
"En_40_05_11","Multiple Amusement Grounds","En_40_05"
"En_40_05_40","Large Single Amusement Buildings","En_40_05"
"En_40_05_41","Large Single Amusement Grounds","En_40_05"
"En_40_05_49","Large Single Amusement Rides","En_40_05"
"En_40_05_70","Small Single Amusement Buildings","En_40_05"
"En_40_05_71","Small Single Amusement Grounds","En_40_05"
"En_40_05_79","Small Single Amusement Rides","En_40_05"
"En_40_05_90","Temporary Amusement Buildings","En_40_05"
"En_40_05_91","Temporary Amusement Grounds","En_40_05"
"En_40_05_99","Temporary Amusement Rides","En_40_05"
"En_40_20","Dining Entities","En_40"
"En_40_20_10","Multiple Dining Buildings","En_40_20"
"En_40_20_11","Multiple Dining Grounds","En_40_20"
"En_40_20_40","Large Single Dining Buildings","En_40_20"
"En_40_20_41","Large Single Dining Grounds","En_40_20"
"En_40_20_70","Small Single Dining Buildings","En_40_20"
"En_40_20_71","Small Single Dining Grounds","En_40_20"
"En_40_20_90","Temporary Dining Buildings","En_40_20"
"En_40_35","Historic Recreational Entities","En_40"
"En_40_35_40","Large Historic Recreational Buildings","En_40_35"
"En_40_35_41","Large Historic Recreational Grounds","En_40_35"
"En_40_35_70","Small Historic Recreational Buildings","En_40_35"
"En_40_35_71","Small Historic Recreational Grounds","En_40_35"
"En_40_60","Performing Arts Entities","En_40"
"En_40_60_10","Multiple Performing Arts Buildings","En_40_60"
"En_40_60_40","Large Single Performing Arts Buildings","En_40_60"
"En_40_60_41","Large Single Performing Arts Grounds","En_40_60"
"En_40_60_70","Small Single Performing Arts Buildings","En_40_60"
"En_40_60_71","Small Single Performing Arts Grounds","En_40_60"
"En_40_60_90","Temporary Performing Arts Buildings","En_40_60"
"En_40_60_91","Temporary Performing Arts Grounds","En_40_60"
"En_40_75","Social Recreation Entities","En_40"
"En_40_75_10","Multiple Social Recreation Buildings","En_40_75"
"En_40_75_40","Large Single Social Recreation Buildings","En_40_75"
"En_40_75_70","Small Single Social Recreation Buildings (E.G. Small Landscape/Streetscape Buildings)","En_40_75"
"En_40_80","Sports Entities","En_40"
"En_40_80_10","Multiple Sports Buildings","En_40_80"
"En_40_80_11","Multiple Sports Grounds","En_40_80"
"En_40_80_40","Large Single Sports Buildings","En_40_80"
"En_40_80_41","Large Single Sports Grounds","En_40_80"
"En_40_80_70","Small Single Sports Buildings","En_40_80"
"En_40_80_71","Small Single Sports Grounds","En_40_80"
"En_40_80_90","Temporary Sports Buildings (E.G. Inflatable, Tented)","En_40_80"
"En_40_80_91","Temporary Sports Grounds","En_40_80"
"En_40_85","Swimming Entities","En_40"
"En_40_85_10","Multiple Swimming Buildings","En_40_85"
"En_40_85_15","Multiple Swimming Outdoor Pools","En_40_85"
"En_40_85_40","Large Single Swimming Buildings","En_40_85"
"En_40_85_45","Large Single Swimming Outdoor Pools","En_40_85"
"En_40_85_70","Small Single Swimming Buildings","En_40_85"
"En_40_85_75","Small Single Swimming Outdoor Pools","En_40_85"
"En_45","Residential Entities","En"
"En_45_10","Long-Term Residential Entities","En_45"
"En_45_10_10","Multiple Long-Term Residential Buildings","En_45_10"
"En_45_10_11","Multiple Long-Term Residential Grounds","En_45_10"
"En_45_10_40","Large Single Long-Term Residential Buildings","En_45_10"
"En_45_10_41","Large Single Long-Term Residential Grounds","En_45_10"
"En_45_10_70","Small Single Long-Term Residential Buildings (Incl. Conservatories, Kit Homes)","En_45_10"
"En_45_10_71","Small Single Long-Term Residential Grounds","En_45_10"
"En_45_10_90","Religious Long-Term Residential Buildings","En_45_10"
"En_45_10_91","Religious Long-Term Residential Grounds","En_45_10"
"En_45_50","Short-Term Residential Entities","En_45"
"En_45_50_10","Multiple Commercial Short-Term Residential Buildings","En_45_50"
"En_45_50_11","Multiple Commercial Short-Term Residential Grounds","En_45_50"
"En_45_50_20","Large Single Commercial Short-Term Residential Buildings","En_45_50"
"En_45_50_21","Large Single Commercial Short-Term Residential Grounds","En_45_50"
"En_45_50_30","Small Single Commercial Short-Term Residential Buildings","En_45_50"
"En_45_50_31","Small Single Commercial Short-Term Residential Grounds","En_45_50"
"En_45_50_40","Large Single Institutional Short-Term Residential Buildings","En_45_50"
"En_45_50_41","Large Single Institutional Short-Term Residential Grounds","En_45_50"
"En_45_50_50","Small Single Institutional Short-Term Residential Buildings","En_45_50"
"En_45_50_51","Small Single Institutional Short-Term Residential Grounds","En_45_50"
"En_45_50_70","Educational Short-Term Residential Buildings","En_45_50"
