"Code","Description","Parent"
"Sp_25","Administrative, Commercial And Protective Service Spaces","Sp"
"Sp_25_10","Legislative Spaces","Sp_25"
"Sp_25_10_15","Council Chambers","Sp_25_10"
"Sp_25_10_33","Galleries To Council Chambers","Sp_25_10"
"Sp_25_10_34","Galleries To Parliamentary Chambers","Sp_25_10"
"Sp_25_10_60","Parliamentary Chambers","Sp_25_10"
"Sp_25_20","Institutional Administrative Spaces","Sp_25"
"Sp_25_20_07","Benefit Offices","Sp_25_20"
"Sp_25_20_40","Individual Institutional Offices","Sp_25_20"
"Sp_25_20_42","Institutional Cashiers","Sp_25_20"
"Sp_25_20_43","Institutional Word Processing Pools","Sp_25_20"
"Sp_25_20_44","Job Centre Spaces","Sp_25_20"
"Sp_25_20_59","Open-Plan Institutional Offices","Sp_25_20"
"Sp_25_20_65","Press Rooms","Sp_25_20"
"Sp_25_20_77","Shared Institutional Offices","Sp_25_20"
"Sp_25_20_96","War Rooms","Sp_25_20"
"Sp_25_30","Secular Representative Spaces","Sp_25"
"Sp_25_30_16","Consulate Reception Rooms","Sp_25_30"
"Sp_25_30_27","Embassy Reception Rooms","Sp_25_30"
"Sp_25_30_37","High Commission Reception Rooms","Sp_25_30"
"Sp_25_30_47","Legation Reception Rooms","Sp_25_30"
"Sp_25_30_60","Passport Offices","Sp_25_30"
"Sp_25_30_63","Pedestrian Security Check Points","Sp_25_30"
"Sp_25_30_95","Vehicular Security Check Points","Sp_25_30"
"Sp_25_35","Religious Representative Spaces","Sp_25"
"Sp_25_35_71","Religious Representative Reception Rooms","Sp_25_35"
"Sp_25_40","Financial Spaces","Sp_25"
"Sp_25_40_06","Banking Halls","Sp_25_40"
"Sp_25_40_07","Bank Teller Spaces","Sp_25_40"
"Sp_25_40_19","Currency Exchange Booths","Sp_25_40"
"Sp_25_40_22","Dealers Desks","Sp_25_40"
"Sp_25_40_75","Safe Deposit Rooms","Sp_25_40"
"Sp_25_40_90","Trading Floors","Sp_25_40"
"Sp_25_40_94","Vaults","Sp_25_40"
"Sp_25_50","Administrative Spaces","Sp_25"
"Sp_25_50_11","Caretaker Offices","Sp_25_50"
"Sp_25_50_28","Executive Offices","Sp_25_50"
"Sp_25_50_30","Filing Rooms","Sp_25_50"
"Sp_25_50_42","Individual Offices","Sp_25_50"
"Sp_25_50_59","Open-Plan Offices","Sp_25_50"
"Sp_25_50_64","Photocopying Rooms","Sp_25_50"
"Sp_25_50_77","Shared Commercial Offices","Sp_25_50"
"Sp_25_50_80","Stationery Stores","Sp_25_50"
"Sp_25_50_96","Word Processing Pools","Sp_25_50"
"Sp_25_50_97","Workstations","Sp_25_50"
"Sp_25_55","Design Spaces","Sp_25"
"Sp_25_55_04","Art And Design Studios","Sp_25_55"
"Sp_25_55_23","Drawing Offices","Sp_25_55"
"Sp_25_60","Motor Vehicle Sale, Maintenance And Fuel Spaces","Sp_25"
"Sp_25_60_11","Car Washes","Sp_25_60"
"Sp_25_60_50","Motor Cycle Maintenance Shops","Sp_25_60"
"Sp_25_60_51","Motor Cycle Parts And Accessories Shops","Sp_25_60"
"Sp_25_60_52","Motor Cycle Showrooms","Sp_25_60"
"Sp_25_60_53","Motor Vehicle Maintenance Shops","Sp_25_60"
"Sp_25_60_54","Motor Vehicle Parts And Accessories Shops","Sp_25_60"
"Sp_25_60_55","Motor Vehicle Showrooms","Sp_25_60"
"Sp_25_60_62","Petrol Station Air And Water Points","Sp_25_60"
"Sp_25_60_64","Petrol Station Forecourts","Sp_25_60"
"Sp_25_60_66","Petrol Station Tanks Areas","Sp_25_60"
"Sp_25_62","Commercial Wholesale Spaces","Sp_25"
"Sp_25_62_03","Alcoholic Beverages Market Spaces","Sp_25_62"
"Sp_25_62_10","Builders' Merchant Shop Floors","Sp_25_62"
"Sp_25_62_14","Clothing Showrooms","Sp_25_62"
"Sp_25_62_21","Dairy Market Spaces","Sp_25_62"
"Sp_25_62_29","Factory Machinery Showrooms","Sp_25_62"
"Sp_25_62_30","Fish Market Spaces","Sp_25_62"
"Sp_25_62_31","Flower Market Spaces","Sp_25_62"
"Sp_25_62_32","Fruit And Vegetable Market Spaces","Sp_25_62"
"Sp_25_62_34","Grains Market Spaces","Sp_25_62"
"Sp_25_62_36","Hardware, Plumbing And Heating Showrooms","Sp_25_62"
"Sp_25_62_37","Heavy Machinery Showrooms","Sp_25_62"
"Sp_25_62_38","Household Goods Showrooms","Sp_25_62"
"Sp_25_62_47","Livestock Auction Rooms","Sp_25_62"
"Sp_25_62_48","Livestock Pens","Sp_25_62"
"Sp_25_62_52","Meat Market Spaces","Sp_25_62"
"Sp_25_62_58","Office Equipment Showrooms","Sp_25_62"
"Sp_25_62_65","Plumbers' Merchant Shop Floors","Sp_25_62"
"Sp_25_62_78","Skins And Hides Market Spaces","Sp_25_62"
"Sp_25_62_82","Spice Market Spaces","Sp_25_62"
"Sp_25_62_89","Toys And Games Showrooms","Sp_25_62"
"Sp_25_62_96","Waste And Scrap Yards","Sp_25_62"
"Sp_25_64","Commercial Retail Spaces","Sp_25"
"Sp_25_64_02","Antiques Shop Floors","Sp_25_64"
