"Code","Description","Parent"
"WR_00_10_50","Goods Contract Content","WR_00_10"
"WR_00_10_70","Works Contract Content","WR_00_10"
"WR_00_20","Contracts","WR_00"
"WR_00_20_20","Services Contracts","WR_00_20"
"WR_00_20_50","Goods Contracts","WR_00_20"
"WR_00_20_70","Works Contracts","WR_00_20"
"WR_00_30","Procurement","WR_00"
"WR_00_30_20","Services Contract Procurement","WR_00_30"
"WR_00_30_50","Goods Contract Procurement","WR_00_30"
"WR_00_30_70","Works Contract Procurement","WR_00_30"
"WR_00_40","Mobilization","WR_00"
"WR_00_40_20","Services Contract Mobilization","WR_00_40"
"WR_00_40_50","Goods Contract Mobilization","WR_00_40"
"WR_00_40_70","Works Contract Mobilization","WR_00_40"
"WR_00_50","Contract Management","WR_00"
"WR_00_50_20","Services Contract Management","WR_00_50"
"WR_00_50_50","Goods Contract Management","WR_00_50"
"WR_00_50_70","Works Contract Management","WR_00_50"
"WR_00_50_75","Works Contract Definitions","WR_00_50"
"WR_00_60","Verification","WR_00"
"WR_00_60_20","Services Contract Verification","WR_00_60"
"WR_00_60_50","Goods Contract Verification","WR_00_60"
"WR_00_60_70","Works Contract Verification","WR_00_60"
"WR_00_70","Payment","WR_00"
"WR_00_70_20","Services Contract Payment","WR_00_70"
"WR_00_70_50","Goods Contract Payment","WR_00_70"
"WR_00_70_70","Works Contract Payment","WR_00_70"
"WR_00_80","Completion","WR_00"
"WR_00_80_20","Services Contract Completion","WR_00_80"
"WR_00_80_50","Goods Contract Completion","WR_00_80"
"WR_00_80_70","Works Contract Completion","WR_00_80"
"WR_00_90","Post Completion","WR_00"
"WR_00_90_20","Services In Use","WR_00_90"
"WR_00_90_50","Goods In Use","WR_00_90"
"WR_00_90_70","Works In Use","WR_00_90"
"WR_05","Regions, Districts, Complexes And Entities","W"
"WR_05_05","Regions","WR_05"
"WR_05_05_25","Administrative, Commercial And Protective Service Regions","WR_05_05"
"WR_05_05_30","Educational, Scientific And Information Regions","WR_05_05"
"WR_05_05_35","Industrial Regions","WR_05_05"
"WR_05_05_40","Medical, Health And Welfare Regions","WR_05_05"
"WR_05_05_45","Recreational Regions","WR_05_05"
"WR_05_05_50","Religious Regions","WR_05_05"
"WR_05_05_55","Residential Regions","WR_05_05"
"WR_05_05_60","Utilities And Civil Engineering Regions","WR_05_05"
"WR_05_05_65","Sanitary, Cleaning, Maintenance And Storage Regions","WR_05_05"
"WR_05_10","Districts","WR_05"
"WR_05_10_25","Administrative, Commercial And Protective Service Districts","WR_05_10"
"WR_05_10_30","Educational, Scientific And Information Districts","WR_05_10"
"WR_05_10_35","Industrial Districts","WR_05_10"
"WR_05_10_40","Medical, Health And Welfare Districts","WR_05_10"
"WR_05_10_45","Recreational Districts","WR_05_10"
"WR_05_10_50","Religious Districts","WR_05_10"
"WR_05_10_55","Residential Districts","WR_05_10"
"WR_05_10_60","Utilities And Civil Engineering Districts","WR_05_10"
"WR_05_10_65","Sanitary, Cleaning, Maintenance And Storage Districts","WR_05_10"
"WR_05_15","Complexes","WR_05"
"WR_05_15_25","Administrative, Commercial And Protective Service Complexes","WR_05_15"
"WR_05_15_30","Educational, Scientific And Information Complexes","WR_05_15"
"WR_05_15_35","Industrial Complexes","WR_05_15"
"WR_05_15_40","Medical, Health And Welfare Complexes","WR_05_15"
"WR_05_15_45","Recreational Complexes","WR_05_15"
"WR_05_15_50","Religious Complexes","WR_05_15"
"WR_05_15_55","Residential Complexes","WR_05_15"
"WR_05_15_60","Utilities And Civil Engineering Complexes","WR_05_15"
"WR_05_15_65","Sanitary, Cleaning, Maintenance And Storage Complexes","WR_05_15"
"WR_05_20","Prefabricated Complexes","WR_05"
"WR_05_25","Administrative, Commercial And Protective Service Entities","WR_05"
"WR_05_25_10","Legislative Entities","WR_05_25"
"WR_05_25_20","Secular Administrative Entities","WR_05_25"
"WR_05_25_30","Secular Representative Entities","WR_05_25"
"WR_05_25_35","Religious Representative Entities","WR_05_25"
"WR_05_25_40","Financial Entities","WR_05_25"
"WR_05_25_50","Commercial Administrative Entities","WR_05_25"
"WR_05_25_60","Commercial Wholesale And Retail Entities","WR_05_25"
"WR_05_25_70","Military Entities","WR_05_25"
"WR_05_25_80","Law Enforcement And Judicial Entities","WR_05_25"
