Ac Activities - 09 July 2015 - v0.1,,,,,,,
,,,,,,,
Code,Group,Sub group,Section,Object,Title,NBS Code,NRM
Ac_15,15,,,,SURVEY ACTIVITIES,,
Ac_15_05,15,05,,,Aquatic surveying,,
Ac_15_05_11,15,05,11,,Canals surveying,,
Ac_15_05_15,15,05,15,,Coastal surveying,,
Ac_15_05_36,15,05,36,,Hydrology surveying,,
Ac_15_05_46,15,05,46,,Lakes and ponds surveying,,
Ac_15_05_70,15,05,70,,Reservoirs surveying,,
Ac_15_05_72,15,05,72,,Rivers and streams,,
Ac_15_05_73,15,05,73,,River estuary surveying,,
Ac_15_10,15,10,,,Below ground surveying,10-10-95/110 Underground services survey;,11.1.2 Other consultants' fees (default);
Ac_15_10_01,15,10,01,,Acoustic surveying,,
Ac_15_10_14,15,10,14,,Closed-circuit television surveying,,
Ac_15_10_34,15,10,34,,Ground penetrating radar surveying,,
Ac_15_10_70,15,10,70,,Radio frequency location surveying,,
Ac_15_10_90,15,10,90,,Trial holes surveying,,
Ac_15_15,15,15,,,Building services condition surveying,10-20-75/110 Engineering services survey;,11.1.1 Project team and design team consultants' fees (default);
Ac_15_15_08,15,15,08,,Boilers,,
Ac_15_15_11,15,15,11,,Catering equipment surveying,,
Ac_15_15_15,15,15,15,,Cold water and water treatment systems surveying,,
Ac_15_15_16,15,15,16,,Control systems surveying,,
Ac_15_15_28,15,15,28,,Escalator and moving pavement systems surveying,,
Ac_15_15_30,15,15,30,,Fire alarm systems surveying,,
Ac_15_15_34,15,15,34,,Generators system surveying,,
Ac_15_15_47,15,15,47,,Lift installation surveying,,
Ac_15_15_48,15,15,48,,Low voltage general power electrical installations surveying,,
Ac_15_15_71,15,15,71,,Refrigeration systems surveying,,
Ac_15_15_82,15,15,82,,Sprinkler systems survey,,
Ac_15_15_95,15,15,95,,Ventilation and air conditioning systems surveying,,
Ac_15_20,15,20,,,Ecological and environmental surveying,,
Ac_15_20_05,15,20,05,,Arboricultural surveying,10-10-75/105 Arboricultural survey;,11.3.1 Main contractor's design consultants' fees; 11.1.2 Other consultants' fees (default); 9.2.6 Control and protection;
Ac_15_20_08,15,20,08,,Bird and pest survey,35-70-10/105 Bird and pest survey;,11.1.2 Other consultants' fees; 4.1.8 Bird and vermin control (default);
Ac_15_20_25,15,20,25,,Ecological building surveying,,
Ac_15_20_27,15,20,27,,Ecological site surveying,10-10-75/125 Ecological survey;,11.1.2 Other consultants' fees (default); 9.2.6 Control and protection;
Ac_15_20_28,15,20,28,,Environmental impact assessment surveying,,
Ac_15_20_40,15,20,40,,Invasive species surveying,10-10-75/140 Invasive species survey;,11.1.2 Other consultants' fees (default); 9.2.6 Control and protection;
Ac_15_20_41,15,20,41,,Invasive and nuisance animal species survey,35-70-10/107 Invasive and nuisance animal species survey;,11.1.2 Other consultants' fees; 4.1.8 Bird and vermin control (default);
Ac_15_20_58,15,20,58,,Ornithological surveying,,
Ac_15_30,15,30,,,Geometric surveying,,
Ac_15_30_50,15,30,50,,Measured and metric surveying,,
Ac_15_30_90,15,30,90,,Topographic surveying,10-10-75/185 Topographic survey;,11.3.1 Main contractor's design consultants' fees; 11.1.2 Other consultants' fees (default); 9.2.6 Control and protection;
Ac_15_40,15,40,,,Hazardous material surveying,10-20-30/120 Deleterious materials survey;,11.1.2 Other consultants' fees (default);
Ac_15_40_05,15,40,05,,Asbestos surveying,,
Ac_15_40_45,15,40,45,,Lead paint surveying,,
Ac_15_40_70,15,40,70,,Radon and hazardous ground gases surveying,,
Ac_15_45,15,45,,,Historic surveying,,
Ac_15_45_35,15,45,35,,Historic building surveying,,
Ac_15_45_37,15,45,37,,Historic site surveying,10-10-75/110 Assessment survey;,11.1.3 Site investigation fees (default); 9.2.6 Control and protection;
Ac_15_50,15,50,,,Investigation surveying,,
